beteckning,punkt,titel,S,M,SD,V,C,KD,MP,L
UbU13,5,Vuxenutbildning,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
UbU13,7,Vuxenutbildning,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
UbU14,1,Högskolan,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UbU14,2,Högskolan,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
UbU14,5,Högskolan,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
UbU14,6,Högskolan,Nej,Ja,Ja,Avstår,Ja,Ja,Avstår,Ja
UbU14,7,Högskolan,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
UbU14,8,Högskolan,Ja,Ja,Ja,Avstår,Nej,Ja,Ja,Ja
UbU14,12,Högskolan,Ja,Ja,Avstår,Nej,Ja,Ja,Nej,Ja
UbU15,1,Forskning,Nej,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
UbU15,2,Forskning,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
UbU15,4,Forskning,Avstår,Ja,Avstår,Nej,Ja,Ja,Ja,Ja
UbU15,5,Forskning,Ja,Ja,Avstår,Ja,Ja,Ja,Nej,Ja
UbU15,6,Forskning,Avstår,Ja,Nej,Ja,Ja,Ja,Ja,Ja
UbU16,1,Att lättare få läsa i snabbare takt och på en högre nivå,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja
UbU16,3,Att lättare få läsa i snabbare takt och på en högre nivå,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja
UbU16,4,Att lättare få läsa i snabbare takt och på en högre nivå,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UbU16,6,Att lättare få läsa i snabbare takt och på en högre nivå,Ja,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
UbU16,7,Att lättare få läsa i snabbare takt och på en högre nivå,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
UbU2,1,,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
UbU5,2,,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UbU6,2,,Nej,Ja,Ja,Avstår,Ja,Ja,Nej,Ja
UbU6,3,,Ja,Ja,Ja,Nej,Avstår,Ja,Ja,Ja
UbU6,4,,Nej,Ja,Ja,Avstår,Ja,Ja,Nej,Ja
UbU7,1,,Nej,Ja,Ja,Avstår,Ja,Ja,Avstår,Ja
UbU7,3,,Ja,Ja,Nej,Ja,Avstår,Ja,Ja,Ja
UbU8,1,,Nej,Ja,Ja,Nej,Avstår,Ja,Ja,Ja
UbU8,2,,Avstår,Ja,Nej,Avstår,Ja,Ja,Ja,Ja
UbU8,3,,Ja,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
UbU8,5,,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UbU9,1,Övergripande skolfrågor,Avstår,Ja,Ja,Avstår,Nej,Ja,Avstår,Ja
UbU9,14,Övergripande skolfrågor,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
UbU9,18,Övergripande skolfrågor,Nej,Ja,Ja,Nej,Avstår,Ja,Nej,Ja
UbU9,21,Övergripande skolfrågor,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
UbU9,24,Övergripande skolfrågor,Ja,Ja,Nej,Ja,Avstår,Ja,Avstår,Ja
