beteckning,punkt,titel,S,M,SD,V,C,KD,MP,L
SkU11,4,Inkomstskatt,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
SkU11,7,Inkomstskatt,Ja,Ja,Nej,Ja,Avstår,Ja,Ja,Ja
SkU11,9,Inkomstskatt,Nej,Ja,Ja,Nej,Avstår,Ja,Ja,Ja
SkU11,12,Inkomstskatt,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja
SkU11,16,Inkomstskatt,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
SkU11,19,Inkomstskatt,Avstår,Ja,Ja,Nej,Avstår,Ja,Avstår,Ja
SkU12,2,"Företag, kapital och fastighet",Nej,Ja,Ja,Ja,Avstår,Ja,Ja,Ja
SkU12,3,"Företag, kapital och fastighet",Avstår,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
SkU12,4,"Företag, kapital och fastighet",Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
SkU12,10,"Företag, kapital och fastighet",Ja,Ja,Ja,Ja,Nej,Ja,Nej,Ja
SkU12,14,"Företag, kapital och fastighet",Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
SkU13,2,Punktskatt och tull,Ja,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
SkU13,4,Punktskatt och tull,Ja,Ja,Avstår,Nej,Ja,Ja,Ja,Ja
SkU13,5,Punktskatt och tull,Ja,Ja,Avstår,Ja,Avstår,Ja,Nej,Ja
SkU13,7,Punktskatt och tull,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
SkU14,1,Mervärdesskatt,Ja,Ja,Nej,Ja,Avstår,Ja,Ja,Ja
SkU14,5,Mervärdesskatt,Ja,Ja,Avstår,Nej,Avstår,Ja,Ja,Ja
SkU14,6,Mervärdesskatt,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
SkU15,1,Skatteförfarande och folkbokföring,Ja,Ja,Nej,Ja,Avstår,Ja,Ja,Ja
SkU15,5,Skatteförfarande och folkbokföring,Avstår,Ja,Ja,Nej,Avstår,Ja,Avstår,Ja
SkU15,9,Skatteförfarande och folkbokföring,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
SkU15,10,Skatteförfarande och folkbokföring,Ja,Ja,Avstår,Avstår,Nej,Ja,Ja,Ja
SkU15,12,Skatteförfarande och folkbokföring,Ja,Ja,Avstår,Nej,Ja,Ja,Nej,Ja
SkU19,2,Höjd spelskatt,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
SkU24,1,Tillfälligt höjt tak för rotavdraget,Ja,Ja,Ja,Nej,Avstår,Ja,Nej,Ja
SkU28,1,Riksrevisionens rapport Svart på vitt – rotavdragets kostnader och effekter,Nej,Ja,Ja,Avstår,Ja,Ja,Ja,Ja
SkU6,2,,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
SkU6,3,,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
SkU7,3,,Ja,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
SkU8,2,,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
SoU11,1,"Alkohol, narkotika, dopning, tobak och spel",Ja,Ja,Ja,Ja,Nej,Ja,Nej,Ja
SoU11,2,"Alkohol, narkotika, dopning, tobak och spel",Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
SoU11,6,"Alkohol, narkotika, dopning, tobak och spel",Ja,Ja,Avstår,Nej,Ja,Ja,Nej,Ja
SoU11,8,"Alkohol, narkotika, dopning, tobak och spel",Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
SoU11,12,"Alkohol, narkotika, dopning, tobak och spel",Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
SoU12,1,,Ja,Ja,Avstår,Ja,Nej,Ja,Nej,Ja
SoU12,7,,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
SoU12,12,,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
SoU12,14,,Avstår,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
SoU13,3,Stöd till personer med funktionsnedsättning,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
SoU13,4,Stöd till personer med funktionsnedsättning,Ja,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
SoU13,7,Stöd till personer med funktionsnedsättning,Ja,Nej,Ja,Ja,Ja,Nej,Ja,Nej
SoU13,8,Stöd till personer med funktionsnedsättning,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
SoU13,14,Stöd till personer med funktionsnedsättning,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
SoU13,16,Stöd till personer med funktionsnedsättning,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
SoU14,2,Hälso- och sjukvårdens organisation,Avstår,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
SoU14,11,Hälso- och sjukvårdens organisation,Avstår,Ja,Nej,Avstår,Ja,Ja,Avstår,Ja
SoU14,12,Hälso- och sjukvårdens organisation,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
SoU15,2,Folkhälsa,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
SoU15,4,Folkhälsa,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja
SoU15,6,Folkhälsa,Ja,Ja,Ja,Ja,Nej,Ja,Nej,Ja
SoU15,7,Folkhälsa,Ja,Ja,Nej,Avstår,Ja,Ja,Avstår,Ja
SoU15,9,Folkhälsa,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
SoU15,11,Folkhälsa,Avstår,Ja,Avstår,Nej,Ja,Ja,Nej,Ja
SoU16,1,Prioriteringar inom hälso- och sjukvården,Nej,Ja,Avstår,Ja,Ja,Ja,Nej,Ja
